Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Successful 50/50s,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Shots,Shooting accuracy %,Big chances missed,Saves,Penalties saved,mod name,age,nationality,value_eur,overall,Season,Arial Saves,Duels %,Aerial battles %
Forward,24,0.0,0.0,7.0,0,0.0,8.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0,244,10.17,1.0,2.0,0,0.0,0.0,2,0,16,14.0,7,3.0,4.0,0.0,2.0,0.29,48.0,52,9.0,0.0,0.0,Charlie Austin,27,England,11000000,78,2017-18,0.0,0.0,0.0
Forward,36,0.0,0.0,82.0,0,0.0,26.0,24.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,2,835,23.19,1.0,45.0,0,0.0,0.0,2,1,63,8.0,7,1.0,4.0,2.0,4.0,0.19,66.0,32,6.0,0.0,0.0,Jordan Ayew,25,Ghana,10000000,76,2017-18,0.0,0.0,0.0
Goalkeeper,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Daniel Bachmann,22,Austria,375000,62,2017-18,0.0,0.0,0.0
Defender,13,7.0,6.0,17.0,59,0.0,1.0,25.0,56.0,14.0,0.0,58.0,4.0,1.0,0.0,0,426,32.77,0.0,0.0,0,1.0,18.0,2,0,10,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Eric Bailly,23,Ivory Coast,35500000,84,2017-18,0.0,61.03896103896104,68.0
Defender,22,5.0,34.0,25.0,52,0.0,1.0,25.0,47.0,15.0,0.0,87.0,8.0,0.0,0.0,3,754,34.27,4.0,75.0,28,0.0,28.0,1,0,7,1.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Leighton Baines,32,England,12500000,82,2017-18,0.0,57.142857142857146,41.1764705882353
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Lewis Baker,22,England,8000000,74,2017-18,0.0,0.0,0.0
Forward,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,3.5,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Sam Baldock,28,England,1800000,70,2017-18,0.0,0.0,0.0
Defender,13,4.0,13.0,17.0,94,0.0,0.0,22.0,66.0,32.0,1.0,61.0,3.0,0.0,0.0,0,418,32.15,0.0,19.0,37,0.0,29.0,5,0,22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Phil Bardsley,32,Scotland,1700000,72,2017-18,0.0,49.24242424242424,51.785714285714285
Midfielder,2,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,0,50,25.0,0.0,2.0,50,0.0,1.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,50,1.0,0.0,0.0,Ross Barkley,23,England,24000000,81,2017-18,0.0,50.0,50.0
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Daniel Barlaser,20,Turkey,550000,61,2017-18,0.0,0.0,0.0
