Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Midfielder,35,,,27.0,67%,,1.0,10.0,10.0,1.0,,73.0,88.0,84.0,29.0,5.0,14.0,,0.0,4,935,26.71,3.0,50.0,18%,2.0,21.0,0,0,9,0.0,6,0.0,1.0,5.0,1.0,0.17,0.0,0.0,25.0,14.0,56%,3.0,,,,,,,,,Bernardo Silva,22,Portugal,43500000,84,2017-18
Defender,35,6.0,49.0,48.0,73%,0.0,7.0,44.0,60.0,28.0,0.0,146.0,141.0,135.0,17.0,44.0,52.0,0.0,0.0,4,"1,480",42.29,3.0,136.0,18%,1.0,40.0,2,0,32,1.0,0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,Ryan Bertrand,27,England,12000000,80,2017-18
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Krystian Bielik,19,Poland,600000,62,2017-18
Midfielder,16,,,25.0,64%,,1.0,18.0,13.0,7.0,,73.0,60.0,49.0,4.0,25.0,12.0,,0.0,0,371,23.19,1.0,12.0,17%,1.0,16.0,3,0,14,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,29%,0.0,,,,,,,,,Philip Billing,21,Denmark,1500000,67,2017-18
Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0,0,0,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Birighitti,26,Australia,850000,68,2017-18
Defender,7,3.0,0.0,6.0,67%,0.0,1.0,7.0,12.0,8.0,0.0,23.0,19.0,19.0,1.0,8.0,6.0,0.0,0.0,0,224,32.0,1.0,26.0,35%,0.0,11.0,0,0,4,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Daley Blind,27,Netherlands,13500000,80,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Hiram Boateng,21,England,575000,62,2017-18
Forward,15,,,5.0,,,5.0,2.0,15.0,10.0,,,,,,,,,,0,208,13.87,0.0,0.0,,,,2,0,7,2.0,2,0.0,2.0,0.0,0.0,0.13,0.0,0.0,20.0,7.0,35%,2.0,,,,,,,,,Wilfried Bony,28,Ivory Coast,13000000,79,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Regan Booty,19,England,80000,53,2017-18
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Cameron Borthwick-Jackson,20,England,2800000,70,2017-18
