Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Midfielder,11,,,15.0,67%,,1.0,15.0,9.0,3.0,,39.0,30.0,42.0,5.0,7.0,10.0,,0.0,0,145,13.18,0.0,7.0,29%,1.0,9.0,2,0,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20%,0.0,,,,,,,,,Leandro Bacuna,26,Curacao,875000,67,2018-19
Defender,12,1.0,13.0,15.0,60%,0.0,0.0,13.0,37.0,11.0,0.0,42.0,37.0,13.0,4.0,13.0,4.0,0.0,0.0,0,302,25.17,0.0,0.0,0%,0.0,19.0,0,1,5,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Eric Bailly,24,Ivory Coast,25000000,82,2018-19
Defender,6,0.0,6.0,8.0,75%,0.0,1.0,2.0,7.0,2.0,0.0,15.0,11.0,9.0,0.0,2.0,3.0,0.0,0.0,0,191,31.83,0.0,18.0,33%,0.0,7.0,0,0,2,1.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Leighton Baines,33,England,4000000,78,2018-19
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Lewis Baker,23,England,3400000,71,2018-19
Defender,23,5.0,32.0,40.0,50%,1.0,3.0,53.0,172.0,82.0,0.0,102.0,114.0,106.0,1.0,70.0,62.0,0.0,0.0,0,832,36.17,0.0,1.0,0%,1.0,51.0,2,0,19,0.0,1,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,Fabián Balbuena,26,Paraguay,15500000,80,2018-19
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Sam Baldock,29,England,1100000,69,2018-19
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Tudor Baluta,19,Romania,0,60,2018-19
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Beni Baningime,19,DR Congo,1500000,67,2018-19
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Ben Barclay,21,England,180000,58,2018-19
Defender,19,4.0,27.0,32.0,59%,1.0,3.0,31.0,66.0,28.0,1.0,70.0,79.0,69.0,4.0,32.0,28.0,1.0,0.0,0,555,29.21,4.0,37.0,27%,0.0,37.0,9,0,22,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Phil Bardsley,33,Scotland,900000,71,2018-19
